team,captain
West Bromwich Albion,Branislav Ivanović
West Ham United,Declan Rice
West Ham United,Mark Noble
West Ham United,Kurt Zouma
West Ham United,Aaron Cresswell
West Ham United,Angelo Ogbonna
West Ham United,Tomáš Souček
West Ham United,James Ward-Prowse
West Ham United,Łukasz Fabiański
Wolverhampton Wanderers,Conor Coady
Wolverhampton Wanderers,Max Kilman
Wolverhampton Wanderers,Rúben Neves
Wolverhampton Wanderers,João Moutinho
Wolverhampton Wanderers,José Sá
